iter	Passed	Remaining
709	1522	621
710	1523	619
711	1523	616
712	1524	613
713	1525	610
714	1525	608
715	1584	628
716	1585	625
717	1586	623
718	1587	620
719	1587	617
720	1588	614
721	1589	611
722	1589	609
723	1590	606
724	1591	603
725	1595	602
726	1596	599
727	1597	596
728	1598	594
729	1599	591
730	1599	588
731	1600	585
732	1601	583
733	1601	580
734	1602	577
735	1602	574
736	1603	572
737	1604	569
738	1604	566
739	1605	564
740	1606	561
741	1606	558
742	1610	557
743	1611	554
744	1612	551
745	1613	549
746	1614	546
747	1614	544
748	1615	541
749	1616	538
750	1616	536
751	1617	533
752	1618	530
753	1618	528
754	1619	525
755	1620	522
756	1620	520
757	1621	517
758	1621	515
759	1622	512
760	1754	551
761	1769	552
762	1770	549
763	1771	547
764	1779	546
765	1780	543
766	1781	541
767	1781	538
768	1782	535
769	1783	532
770	1783	529
771	1784	527
772	1795	527
773	1796	524
774	1799	522
775	1799	519
776	1800	516
777	1801	513
778	1803	511
779	1803	508
780	1815	508
781	1815	506
782	1816	503
783	1817	500
784	1826	500
785	1827	497
786	1828	494
787	1829	492
788	1829	489
789	1830	486
790	1831	483
791	1832	481
792	1832	478
793	1842	477
794	1842	475
795	1843	472
796	1844	469
797	1845	467
798	1846	464
799	1846	461
800	1847	459
801	1848	456
802	1849	453
803	1896	462
804	1897	459
805	1897	456
806	1898	454
807	1899	451
808	1901	448
809	1902	446
810	1903	443
811	1916	443
812	1916	440
813	1917	438
814	1918	435
815	1920	433
816	1921	430
817	1922	427
818	1923	425
819	1924	422
820	1924	419
821	1948	421
822	1963	422
823	1963	419
824	1964	416
825	1971	415
826	1972	412
827	1973	409
828	1974	407
829	1974	404
830	1975	401
831	1976	399
832	1976	396
833	1977	393
834	1978	390
835	1978	388
836	1979	385
837	1980	382
838	1984	380
839	1984	378
840	1985	375
841	1986	372
842	1989	370
843	1990	367
844	1991	365
845	1991	362
846	1992	359
847	1993	357
848	1993	354
849	1994	351
850	1995	349
851	1995	346
852	1999	344
853	2000	342
854	2001	339
855	2001	336
856	2002	334
857	2003	331
858	2004	328
859	2004	326
860	2005	323
861	2006	321
862	2006	318
863	2007	315
864	2008	313
865	2008	310
866	2009	308
867	2010	305
868	2010	303
869	2011	300
870	2015	298
871	2015	295
872	2016	293
873	2017	290
874	2018	288
875	2019	285
876	2019	283
877	2020	280
878	2021	278
879	2021	275
880	2022	273
881	2023	270
882	2023	268
883	2024	265
884	2025	263
885	2026	260
886	2027	258
887	2030	256
888	2031	253
889	2031	251
890	2032	248
891	2033	246
892	2034	243
893	2035	241
894	2035	238
895	2036	236
896	2037	233
897	2037	231
898	2038	229
899	2039	226
900	2039	224
901	2041	221
902	2042	219
903	2051	217
904	2051	215
905	2052	212
906	2053	210
907	2053	208
908	2054	205
909	2055	203
910	2056	200
911	2056	198
912	2057	196
913	2058	193
914	2058	191
915	2059	188
916	2061	186
917	2062	184
918	2063	181
919	2063	179
920	2064	177
921	2065	174
922	2065	172
923	2066	169
924	2070	167
925	2070	165
926	2078	163
927	2081	161
928	2082	159
929	2083	156
930	2083	154
931	2084	152
932	2085	149
933	2085	147
934	2086	145
935	2087	142
936	2091	140
937	2092	138
938	2093	135
939	2094	133
940	2095	131
941	2095	129
942	2096	126
943	2097	124
944	2097	122
945	2098	119
946	2099	117
947	2099	115
948	2100	112
949	2101	110
950	2102	108
951	2102	106
952	2110	104
953	2111	101
954	2112	99
955	2112	97
956	2113	94
957	2114	92
958	2114	90
959	2115	88
960	2116	85
961	2116	83
962	2117	81
963	2118	79
964	2131	77
965	2133	75
966	2134	72
967	2138	70
968	2139	68
969	2139	66
970	2143	64
971	2143	61
972	2144	59
973	2145	57
974	2145	55
975	2146	52
976	2147	50
977	2148	48
978	2148	46
979	2149	43
980	2158	41
981	2159	39
982	2160	37
983	2160	35
984	2161	32
985	2162	30
986	2162	28
987	2163	26
988	2164	24
989	2164	21
990	2165	19
991	2169	17
992	2169	15
993	2170	13
994	2171	10
995	2172	8
996	2172	6
997	2173	4
998	2174	2
999	2175	0
